county,feature,rows,non_null,coverage,mean
Başiskele,attr_has_elevator,856,856,1.0,0.5186915887850467
Başiskele,attr_has_parking,856,853,0.9964953271028038,0.9800703399765534
Başiskele,attr_has_balcony,856,856,1.0,0.9824766355140186
Başiskele,attr_is_site_inside,856,852,0.9953271028037384,0.4225352112676056
Başiskele,attr_credit_eligible,856,0,0.0,
Başiskele,attr_building_age_score,856,856,1.0,0.8793224299065421
Başiskele,attr_heating_quality_score,856,856,1.0,0.9191355140186915
Başiskele,attr_total_quality_score,856,856,1.0,0.815293144420481
Gölcük,attr_has_elevator,571,571,1.0,0.18388791593695272
Gölcük,attr_has_parking,571,571,1.0,0.851138353765324
Gölcük,attr_has_balcony,571,571,1.0,0.978984238178634
Gölcük,attr_is_site_inside,571,571,1.0,0.2714535901926445
Gölcük,attr_credit_eligible,571,0,0.0,
Gölcük,attr_building_age_score,571,571,1.0,0.49842381786339757
Gölcük,attr_heating_quality_score,571,571,1.0,0.8585288966725042
Gölcük,attr_total_quality_score,571,571,1.0,0.6660652850749172
Karamürsel,attr_has_elevator,202,194,0.9603960396039604,0.5
Karamürsel,attr_has_parking,202,199,0.9851485148514851,0.7336683417085427
Karamürsel,attr_has_balcony,202,197,0.9752475247524752,0.9695431472081218
Karamürsel,attr_is_site_inside,202,202,1.0,0.22772277227722773
Karamürsel,attr_credit_eligible,202,0,0.0,
Karamürsel,attr_building_age_score,202,202,1.0,0.48688118811881187
Karamürsel,attr_heating_quality_score,202,202,1.0,0.8445544554455444
Karamürsel,attr_total_quality_score,202,202,1.0,0.677721397139714
İzmit,attr_has_elevator,1329,1310,0.9857035364936042,0.5091603053435114
İzmit,attr_has_parking,1329,1329,1.0,0.8389766741911211
İzmit,attr_has_balcony,1329,1328,0.999247554552295,0.9292168674698795
İzmit,attr_is_site_inside,1329,1329,1.0,0.42437923250564336
İzmit,attr_credit_eligible,1329,0,0.0,
İzmit,attr_building_age_score,1329,1329,1.0,0.6100827689992475
İzmit,attr_heating_quality_score,1329,1329,1.0,0.8713769751693002
İzmit,attr_total_quality_score,1329,1329,1.0,0.72573847697324
