district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,11-15 arası,151-200,1,0.5479408614861341,17534.10756755629
Ereğli Mh.,16-20 arası,101-125,1,0.5392816558778771,15747.024351634012
4 Temmuz Mah.,4,76-100,1,0.45672542148665835,14776.410157832568
Kayacık Mh.,6-10 arası,151-200,1,0.3833298129991241,27218.686035430765
Tepeköy Mh.,31 ve üzeri,76-100,1,0.3811968460707859,10355.848922245837
Dereköy Mh.,11-15 arası,76-100,1,0.37744400421335755,10065.174703836215
Kayacık Mh.,3,126-150,1,0.341597509705732,24962.893888965
Kayacık Mh.,31 ve üzeri,126-150,1,0.32252324840934155,7525.541387807141
Yalakdere Mh.,16-20 arası,101-125,1,0.31429219484202636,17571.790607720388
Avcıköy Mh.,21-25 arası,76-100,1,0.31361037450008156,16028.974348214862
Kayacık Mh.,31 ve üzeri,76-100,4,0.30514659552130907,10545.787877316792
Kayacık Mh.,16-20 arası,151-200,1,0.30425890111845,17454.85242810171
Kayacık Mh.,16-20 arası,126-150,1,0.29813363165094225,9582.867583447805
Dereköy Mh.,11-15 arası,151-200,1,0.2844942896340671,7708.8763325277
4 Temmuz Mah.,31 ve üzeri,0-75,2,0.2819378230448677,10952.449571741536
Ereğli Mh.,21-25 arası,0-75,2,0.28044308285093056,19786.77159380646
4 Temmuz Mah.,1,0-75,1,0.2682217195926046,18900.691401364602
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.24658037154748727,15822.241329565004
Kayacık Mh.,26-30 arası,76-100,4,0.2463907053895449,9340.603968114347
4 Temmuz Mah.,6-10 arası,126-150,3,0.2448765248295519,7281.571417638606
Kayacık Mh.,26-30 arası,101-125,3,0.2410274820749735,9342.878698783667
Kayacık Mh.,1,151-200,1,0.238877823367002,10459.73847421445
4 Temmuz Mah.,6-10 arası,76-100,1,0.23635655102477734,14181.39306148664
4 Temmuz Mah.,31 ve üzeri,126-150,13,0.23449329829388504,5736.994915439563
Kayacık Mh.,6-10 arası,101-125,2,0.22738664510768375,14937.490896950487
Kayacık Mh.,6-10 arası,76-100,1,0.2147122362102081,7944.3527397777
Dereköy Mh.,11-15 arası,126-150,3,0.21195857350652814,6895.144281814167
4 Temmuz Mah.,21-25 arası,101-125,3,0.2091278009765455,4801.619183388541
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,1,0.2039414155977804,13256.192013855725
Kayacık Mh.,5,0-75,1,0.19949629779722342,13299.75385146922
4 Temmuz Mah.,26-30 arası,151-200,1,0.19640085408379643,5830.650355612706
Ereğli Mh.,26-30 arası,76-100,1,0.19179032066500737,8430.343006763891
Kayacık Mh.,31 ve üzeri,101-125,11,0.1834409535195554,5368.396790068902
4 Temmuz Mah.,11-15 arası,101-125,5,0.18044525484647517,9012.518958780534
Kayacık Mh.,26-30 arası,151-200,1,0.1796387899685319,5389.163699055956
Kayacık Mh.,21-25 arası,76-100,1,0.1752847484896509,8501.310301748068
Kayacık Mh.,16-20 arası,101-125,1,0.165011781953598,7219.265460469913
4 Temmuz Mah.,1,76-100,3,0.16235447403882644,7881.37769587709
Kayacık Mh.,16-20 arası,200+,1,0.1556802562072752,5610.976419738065
Ereğli Mh.,31 ve üzeri,101-125,1,0.1555280234183203,7154.2890772427345
4 Temmuz Mah.,26-30 arası,76-100,5,0.14734135525050554,5008.721683195352
4 Temmuz Mah.,31 ve üzeri,76-100,11,0.14226498842965551,3926.1744809392167
4 Temmuz Mah.,31 ve üzeri,101-125,18,0.14135988055514037,3519.6469653106383
4 Temmuz Mah.,3,76-100,2,0.14013099387991462,5993.330809014395
4 Temmuz Mah.,2,76-100,1,0.13785911844843532,4901.658157540449
4 Temmuz Mah.,6-10 arası,151-200,2,0.13603125525100346,4930.852215577026
Kayacık Mh.,11-15 arası,126-150,2,0.13494220944432844,5587.171139925114
4 Temmuz Mah.,11-15 arası,76-100,6,0.13152176005680985,6051.461676610255
Kayacık Mh.,11-15 arası,101-125,4,0.13125518382432827,7685.83304332803
Ereğli Mh.,1,126-150,1,0.1294605730704207,5092.115442567971
Kayacık Mh.,0 (Oturuma Hazır),0-75,2,0.12919381513005734,5701.154458779751
4 Temmuz Mah.,26-30 arası,126-150,7,0.1285054019549253,2653.1111832936417
Kayacık Mh.,11-15 arası,76-100,4,0.12546770706600746,4992.295059043479
4 Temmuz Mah.,26-30 arası,101-125,5,0.12449405785270007,4283.137010864813
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.1231305847750275,5643.4847250868115
Kayacık Mh.,0 (Oturuma Hazır),101-125,1,0.11854975036477837,6412.463877503695
Kayacık Mh.,26-30 arası,126-150,3,0.10936014873364941,4389.521753296787
4 Temmuz Mah.,5,76-100,1,0.10627227296168072,5313.613648084036
4 Temmuz Mah.,31 ve üzeri,151-200,1,0.1061734047637801,2986.127008981315
Kayacık Mh.,4,76-100,1,0.10441805376324059,4775.216153464928
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.09769876337693631,4521.910524992134
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.09713144121224024,5151.558994613399
Kayacık Mh.,21-25 arası,126-150,2,0.09037269340350743,3202.521789126966
Ereğli Mh.,16-20 arası,126-150,1,0.08993068872571439,3216.751489088485
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08968249236057046,4801.893389588496
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.0850142613655177,4022.401993885491
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.08488564411508322,4244.282046879038
Kayacık Mh.,6-10 arası,126-150,1,0.07507004969993457,3253.035236763666
Kayacık Mh.,1,0-75,2,0.07272171675225406,3613.9995324427327
Kayacık Mh.,0 (Oturuma Hazır),76-100,4,0.07262899127250055,4031.771857575546
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,2,0.06866742609931208,3358.5193386246174
Ereğli Mh.,0 (Oturuma Hazır),76-100,5,0.06751981251846237,3575.6073247239924
Ereğli Mh.,11-15 arası,101-125,1,0.060232791917719415,2626.1497276125665
Dereköy Mh.,26-30 arası,151-200,1,0.05716425556605534,1684.9164328094812
Tepeköy Mh.,0 (Oturuma Hazır),76-100,1,0.052787984612204075,2359.933305515042
Kayacık Mh.,0 (Oturuma Hazır),126-150,1,0.026698761641045288,1374.201013933969
Dereköy Mh.,6-10 arası,126-150,2,0.022465948921010705,740.1976311335457
4 Temmuz Mah.,6-10 arası,101-125,2,0.02026339379933447,782.6917699050391
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.006052722013905261,321.550856988717
Kayacık Mh.,21-25 arası,101-125,1,0.0018569671077801224,69.6362665417546
