building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21616789356161797,0.18625591788977236,5531.394261678843,5052.757504876559,28095.89875,33426.53556332263
16-20 arası,11,0.13654255728531262,0.06817527066385952,5576.804021129966,2231.1904903392096,36433.91818181818,35177.31669259246
5,43,0.13285243949069042,0.10923657890878581,5931.022500706816,4697.17289307779,43811.04720930233,42263.45522302575
4,17,0.13063518749741643,0.08439571401592244,5447.216859236914,3318.4388427614904,40888.98941176471,40732.95350211358
26-30 arası,16,0.1227869562926844,0.09799733767067087,3669.079531416379,3202.5733463130655,32057.213125000002,33363.18685118942
6-10 arası,158,0.12035357884358001,0.10296929453395609,4843.006308912616,4133.418230152904,40460.17386075949,40308.01978721265
2,30,0.11749252307908155,0.07908228268336344,5009.1800219639745,3064.6177637519286,41055.965,40368.89075745035
3,26,0.11566265388937784,0.12202311605288887,5101.86501552504,4947.552266266557,43607.786538461536,41998.523697246266
0 (Yapım Aşamasında),78,0.1109146226714876,0.090953391209366,4612.906449056282,3472.204245521718,41159.575769230774,40844.44808793905
0 (Oturuma Hazır),388,0.10240937504477152,0.08170545663806977,4406.796071589762,3478.903791774028,42164.376211340204,41493.38043222478
11-15 arası,78,0.09871810817243588,0.10090930957672803,3702.204572748422,3517.9427945697116,37469.194871794876,37411.05865363272
1,47,0.09696228334968413,0.08584369994287624,4098.7825840808055,3381.847510557993,42601.52404255319,41483.06627611345
missing,3,0.07618136746466428,0.09403127302613633,3322.1611046098164,4701.563651306817,44908.426666666666,41586.26556205685
21-25 arası,16,0.0707218420817016,0.05789121223984037,2202.910803360798,1941.3009584675092,31237.335625,32375.45130266735
