room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
2+0,1,13.0,13.0,0,0,0.636149681152818,28421.05
4+2,4,9.0,8.0,0,0,0.6928627448158966,22954.252500000002
Stüdyo (1+0),12,8.5,7.0,0,0,1.3336551464975561,60902.71
6+1,2,7.0,7.0,0,0,1.233215478697307,54722.225
5+2,1,7.0,7.0,0,0,0.9098460440292231,25000.0
5.5+1,1,7.0,7.0,0,0,0.8372045486782691,36041.67
7+1,1,7.0,7.0,0,0,1.0339992788846168,31041.67
3+2,4,6.75,6.0,0,0,0.8537386491782084,26211.1325
5+1,16,5.5625,7.0,0,0,0.956268476235475,39496.190625
2+2,1,5.0,5.0,0,0,1.0598213661555018,42400.0
3.5+1,9,3.7777777777777777,5.0,0,0,1.154179312843361,41900.83888888889
4+1,181,2.8066298342541436,0.0,0,0,0.9844826781183125,38436.57226519337
3+1,1367,2.643745427944404,0.0,0,0,0.9826255721615473,36253.828997805416
2+1,1271,2.5995279307631787,0.0,3,0,1.0093502069671147,38745.85008654603
4.5+1,7,2.4285714285714284,0.0,0,0,1.1667436221297975,39561.57571428572
1+1,219,2.2739726027397262,0.0,0,0,1.0926046261807436,48165.005296803654
2.5+1,6,0.8333333333333334,0.0,0,0,1.081220304285303,41528.43833333333
3+0,1,0.0,0.0,0,0,1.3318021935941802,40384.62
