room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3474015996664823,0.3474015996664823,18335.085198845678,18335.085198845678,52777.78,34442.69480115432
4.5+1,2,0.31289210354194164,0.31289210354194164,10946.872741574212,10946.872741574212,34219.0,45165.87274157421
5+1,6,0.16465427401492008,0.15210116635738008,6663.063808821605,5257.959555621626,36316.30333333334,34766.94666791552
3.5+1,2,0.14219729310249896,0.14219729310249896,9252.849369695712,9252.849369695712,61497.96,52245.11063030429
2.5+1,1,0.1386006351214435,0.1386006351214435,5959.82731022207,5959.82731022207,43000.0,48959.82731022207
4+1,80,0.13831382063362682,0.1099628569607889,5534.822699478289,3903.8222391257623,38162.069875,36916.99947218281
1+1,40,0.12307070160183968,0.09980097729391668,6190.376820543273,4043.444020210198,49987.860499999995,48438.94348189335
3+1,400,0.11801196918451116,0.09606383590095062,4628.843747165205,3627.9770578113857,39217.910575,39082.68946922137
2+2,1,0.09631499727304833,0.09631499727304833,4083.7558843772495,4083.7558843772495,42400.0,38316.24411562275
2+1,384,0.093477182202236,0.07737736821996863,3994.042262965386,3347.0046053627775,42310.314427083336,41926.84955370335
3+2,1,0.05031804408522314,0.05031804408522314,1824.9151988456797,1824.9151988456797,36267.61,34442.69480115432
4+2,1,0.006460822422392384,0.006460822422392384,223.97519884567737,223.97519884567737,34666.67,34442.69480115432
