site_project_id,n,mean_actual,mean_pred,mean_residual
merkezde_essiz_bir,1,56666.67,40540.231920289996,-16126.438079710002
erenoglu_gm_den,1,60185.19,46648.946737210754,-13536.243262789249
yuvacikta,1,57500.0,44506.64794870386,-12993.35205129614
panoramakent_3,2,58273.81,46728.532156776826,-11545.277843223172
anatolia,1,45112.78,34017.250880153464,-11095.529119846535
royal_life,2,54451.415,43887.1386412454,-10564.2763587546
orka_life_2,1,57142.86,46795.50663759098,-10347.35336240902
orka_life,3,56599.920000000006,46618.92175256222,-9980.998247437781
panoramakent_2,2,57160.0,48017.49787911204,-9142.502120887963
zeraykent_yuvacik,1,46462.26,37708.62661285716,-8753.633387142843
bulvar,2,51688.655,43066.500139229414,-8622.154860770584
basiskele_de_asev_muhit,1,53333.33,46587.91095900965,-6745.419040990353
kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,38102.78270959411,-6182.927290405889
panoramakent_1,1,45208.33,41226.3445079302,-3981.9854920698053
teras_marmara,2,47116.165,43298.88213164576,-3817.2828683542393
kucuk_yali,1,45145.63,41994.551987667546,-3151.078012332451
terra_nova,1,49090.91,46652.681370855,-2438.228629145
yuvacik_kalici_konutlari_1_ada,1,34347.83,31985.662431082983,-2362.167568917019
alizepark_city,5,46178.534,44185.634375686255,-1992.8996243137415
pasadag_100_yil_parla,1,50000.0,48031.27845039356,-1968.7215496064382
mamik_life,4,50322.3875,48805.873293376775,-1516.5142066232256
yuvacik_ta_prestijli,1,35714.29,34502.521078642865,-1211.7689213571357
missing,206,40238.727330097085,40045.79632008147,-192.93101001561945
torpidocular,1,30769.23,30831.74568182054,62.51568182053961
zeray_perla,1,48538.01,48831.85861806922,293.8486180692198
evimiz_kocaeli,1,43461.54,44299.51448439076,837.9744843907611
bahcekent_konutlari,1,40941.18,42109.184672836986,1168.0046728369853
akademik_elit_park,2,42186.15,43378.502150905944,1192.3521509059465
ustpark_afraze,2,41790.78,43342.15812883331,1551.3781288333084
mamik_reform,6,47485.878333333334,49093.23910908425,1607.360775750921
yakut_konaklari,1,35105.26,36789.086733345386,1683.8267333453841
yaylacik_mh_de_havuzlu,1,46333.33,48361.32698576439,2027.9969857643882
cevizli_vadi,1,45000.0,47039.48526770079,2039.4852677007875
basiskele_de_butik,1,41903.23,43993.7295310226,2090.4995310226004
aydinkent_kalici,1,30909.09,33034.211173430565,2125.1211734305652
yuvacik_kalici_konutlari_10_ada,1,27333.33,30276.296179401565,2942.966179401563
kuba,1,28461.54,31696.094114626056,3234.554114626055
terasta_life,1,36363.64,40664.40243878371,4300.762438783713
gun_isigi,1,35652.17,41617.720903992886,5965.5509039928875
my_yaka,1,38000.0,44018.83839226887,6018.838392268874
marmara_elit,1,37000.0,43019.43644917357,6019.436449173569
asansorlu_butik,1,39600.0,45877.778780622866,6277.778780622866
duru_park,2,34883.335,41837.11786240153,6953.782862401527
yuksek_giris_butik,1,35000.0,42298.272818971745,7298.272818971745
my_house_yuvacik,1,31388.89,38866.79301238744,7477.90301238744
cb_mahall_den_tinaztepede,1,31750.0,39528.70989782794,7778.709897827939
yesilyurt_mahallesin_de,1,32708.33,41138.79559995324,8430.46559995324
emar_delux_yuvacik,1,35151.52,43625.992727846184,8474.472727846187
aydinkent_kalici_konutlari_19_ada,1,30454.55,39341.2803979503,8886.730397950301
zeray_gunesi,2,40614.145000000004,49655.93362197373,9041.78862197373
yakamoz_konutlari,1,36875.0,46385.35662695477,9510.356626954766
iskar_elit_kent,1,37500.0,48483.03496312947,10983.034963129467
clover_premium,1,42812.5,54218.37025184817,11405.870251848173
kirazli_kent,1,34375.0,48989.21241846722,14614.212418467221
barbaros_mah,1,30962.34,46334.933076524685,15372.593076524685
