room_count,n,mape,mae
4.5+1,1,0.8565387478017837,16111.082707552607
4.5+2,1,0.3746615373844303,23416.346086526893
6+2,1,0.2754473101909766,9534.713312238528
2.5+1,1,0.22076293681921275,7900.988504403111
5+2,1,0.21249116031415538,6432.838392300964
4+2,6,0.20758083297495666,7601.559118975388
4+1,27,0.17106034894777267,7659.60708330137
3+1,141,0.16533289286369682,5860.712014371382
5+1,8,0.1637512379680619,6938.7431579359
1+1,13,0.15689023343428127,7949.676504817689
3+2,2,0.14653582873771093,6758.903430918832
2+1,118,0.14228547678655515,5844.352256552212
5.5+1,1,0.10527550091766667,3794.304863159239
2+2,1,0.06711955974256019,2922.948764297311
3.5+1,3,0.05580309910074213,1733.465219350699
6+1,3,0.053362951031535245,1838.6518631128456
