feature,p10,p50,p90,min,max
sat_ndvi_mean_100m,,,,,
sat_ndvi_mean_250m,,,,,
sat_ndvi_mean_500m,,,,,
sat_ndwi_mean_100m,,,,,
sat_ndwi_mean_250m,,,,,
sat_ndwi_mean_500m,,,,,
sat_ndbi_mean_100m,,,,,
sat_ndbi_mean_250m,,,,,
sat_ndbi_mean_500m,,,,,
sat_ndvi_std_250m,,,,,
sat_brightness_mean_100m,,,,,
sat_brightness_mean_250m,,,,,
sat_brightness_mean_500m,,,,,
sat_green_share_250m,,,,,
sat_water_share_250m,,,,,
sat_builtup_share_250m,,,,,
sat_texture_proxy_250m,,,,,
sat_cloud_coverage_proxy,,,,,
sat_feature_year,,,,,
sat_feature_month,,,,,
sat_has_features,0.0,0.0,0.0,0.0,0.0
