model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.02506772045008932,1
gradient_boosting,,num__detail_effect_total_mean,0.017040696473527187,2
extra_trees,,num__detail_effect_subtype_sum,0.009746882231757546,3
gradient_boosting,,num__detail_effect_front_mean,0.00952538293286926,4
gradient_boosting,,num__detail_effect_front_sum,0.008918048572520767,5
gradient_boosting,,num__detail_effect_subtype_sum,0.006716371938223654,6
extra_trees,,num__detail_effect_subtype_mean,0.005947679760764145,7
gradient_boosting,,num__detail_effect_outside_sum,0.005710787677980322,8
extra_trees,,num__detail_effect_county_total_sum,0.005446486794435444,9
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.005206671730693263,10
extra_trees,,num__detail_effect_total_sum,0.004975707057070833,11
gradient_boosting,,num__detail_effect_transport_mean,0.004870204239301071,12
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.004801684682661649,13
extra_trees,,num__detail_effect_front_mean,0.004463629363661855,14
extra_trees,,num__detail_effect_front_sum,0.004227888511565688,15
gradient_boosting,,num__detail_effect_county_total_sum,0.004213963945909267,16
extra_trees,,num__detail_effect_total_mean,0.004176020476772178,17
extra_trees,,num__detail_effect_inside_mean,0.004173733390603582,18
gradient_boosting,,num__detail_effect_outside_mean,0.0040709392210330955,19
extra_trees,,num__detail_effect_total_x_attr_quality,0.003763293639609679,20
extra_trees,,num__detail_effect_outside_mean,0.0037130658417486614,21
extra_trees,,num__detail_effect_outside_sum,0.0036081651745056226,22
gradient_boosting,,num__detail_effect_total_abs_sum,0.0035488926932926365,23
extra_trees,,num__detail_effect_inside_sum,0.003432422046814461,24
extra_trees,,num__detail_effect_district_total_sum,0.0032413034266303305,25
extra_trees,,num__detail_effect_outside_x_attr_quality,0.0032373454385524235,26
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0031650727663098217,27
gradient_boosting,,num__detail_effect_negative_count,0.0029806040775540305,28
gradient_boosting,,num__detail_effect_nearby_mean,0.0025777802506979025,29
extra_trees,,num__detail_effect_negative_count,0.0024202060835693756,30
extra_trees,,num__detail_effect_nearby_mean,0.0021842431061820447,31
extra_trees,,num__detail_effect_transport_mean,0.0021751908321199606,32
extra_trees,,num__detail_effect_total_abs_sum,0.002169459554544581,33
extra_trees,,num__detail_effect_level_code,0.0020547372867482433,34
gradient_boosting,,num__detail_effect_view_mean,0.002028092288979233,35
gradient_boosting,,num__detail_effect_used_count,0.0020126227371613783,36
extra_trees,,num__detail_effect_positive_count,0.002003563235866914,37
gradient_boosting,,num__detail_effect_nearby_sum,0.0019674191576528385,38
extra_trees,,num__detail_effect_view_sum,0.0019101815310719316,39
extra_trees,,num__detail_effect_nearby_sum,0.0018815210801865316,40
extra_trees,,num__location_quality_x_detail_effect_total,0.0018631372859561491,41
gradient_boosting,,num__detail_effect_subtype_mean,0.0017930212063709374,42
extra_trees,,num__detail_effect_view_mean,0.0017246726618131453,43
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0016923603052890561,44
extra_trees,,num__detail_effect_used_count,0.0016505523019339215,45
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.0015961178751539814,46
extra_trees,,num__detail_effect_view_x_location_baseline,0.0014963172102015634,47
gradient_boosting,,num__detail_effect_district_total_sum,0.001447789370400877,48
extra_trees,,num__detail_effect_transport_sum,0.0014094839309646725,49
gradient_boosting,,num__detail_effect_inside_sum,0.0013963265958689354,50
gradient_boosting,,num__detail_effect_positive_count,0.0013002448560099785,51
gradient_boosting,,num__detail_effect_transport_sum,0.0009717951727750353,52
gradient_boosting,,num__detail_effect_level_code,0.0007428527390838181,53
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0005185233788074908,54
gradient_boosting,,num__detail_effect_view_sum,0.0005011778892585265,55
gradient_boosting,,num__detail_effect_total_sum,0.0003865045226408267,56
