site_project_id,n_listings,known_premium
missing,625,0
zeray_gunesi,17,1
evimiz_kocaeli,16,1
bahcekent_konutlari,14,0
royal_city_akkurt,9,0
kirazli_kent,8,0
yakamoz_konutlari,8,0
royal_country,8,0
zeray_perla,8,1
orka_life_2,6,1
mamik_reform,6,0
ustpark_afraze,5,0
ustgrup_mezire,5,1
sembol_kent,5,0
yuvana_evleri,5,0
zeray_korupark,5,1
zeraykent_yuvacik,5,0
alizepark_city,5,1
aurapark,4,0
akademik_elit_park,4,0
ritim_vadi_evleri,4,0
esila_park,4,0
parla_100_yil,3,0
teras_marmara,3,0
my_house_yuvacik,3,0
mamik_life,3,1
marmara_elit,3,0
elitium_trio,3,0
orka_life,3,0
manar_yuvacik_3,2,0
mahall_yuvacik_2,2,0
fatih_mahallesinde,2,0
manar_yuvacik,2,0
yesilkent_kalici,2,0
yuvacik_kalici_konutlari_2_ada,2,0
ustpark_yuvacik,2,0
terra_nova,2,0
royal_life,2,1
panoramakent_4,2,0
panoramakent_3,2,0
yakut_konaklari,2,0
duru_park,2,0
iskar_elit_kent,2,0
altin_vadi,2,0
my_yaka,2,0
manar_terrace,2,0
oluklu_life,2,0
panoramakent_2,2,0
bulvar,2,0
ceneviz_adalari,2,0
doga,2,0
elitium_park,2,0
emar_delux_yuvacik,2,0
akasya_modern,1,0
altinkent_kalici_konutlari_3_ada,1,0
altinkent,1,0
barbaros_mh,1,0
barbaros_mah,1,0
barbaros,1,0
bahama,1,0
aydinkent_kalici_konutlari_19_ada,1,0
aydinkent_kalici_konutlari_20_ada,1,0
aydinkent_kalici,1,0
aydinkent,1,0
anatolia,1,0
asrin,1,0
asansorlu_butik,1,0
armoni_2,1,0
altinkent_kalici_konutlari_7_ada,1,0
ara,1,0
altinkent_kalici_konutlari_5_ada,1,0
altinkent_kalici_konutlari_6_ada,1,0
kardelen,1,0
invest_globalden_zeray_kent,1,0
fatih_mah,1,0
gun_isigi,1,0
erenoglu_gm_den,1,0
durupark,1,0
caglayan_modern_yuvacik,1,0
casaba_suite,1,0
dream_gardens,1,0
clover_premium,1,0
cevizli_vadi,1,0
cb_mahall_den_tinaztepede,1,0
basiskele_fatih,1,0
birikim_gayrimenkulden,1,0
basiskele_de_butik,1,0
basiskele_de,1,0
natura_life_yuvacik,1,0
may_kent_2,1,0
mehmet_akif_ersoy,1,0
merkezde_essiz_bir,1,0
may_city,1,0
mavi_yesil_park,1,0
marmara_elit_yapi_kooperatifi,1,0
kredili_dusuk_faiz_yuksek_konforlu,1,0
kullar_da_ultra_ebeveyn_banyolu,1,0
kullar_tepecik_de,1,0
kullar_yakacik_ta_kacirilmayacak_butik,1,0
kullar_tepecik_mah,1,0
kullar_yaylacik_mahallesi,1,0
kw_arven_den_ted_kolejine_komsu_havuzlu,1,0
lotus,1,0
lotus_mahza,1,0
kolayli_karsiyaka,1,0
kullar_da_prestijli_yasam,1,0
kucuk_yali,1,0
kuba,1,0
kolayli,1,0
kolayli_kullar,1,0
bizim_evler,1,0
bloklu_butik,1,0
basiskele_de_asev_muhit,1,0
erturk,1,0
pasadagi,1,0
pasadag_mh_de_konsept_talha_park,1,0
polen_park,1,0
pera_park,1,0
panoramakent_1,1,0
naturapark,1,0
ust_deniz_manzarali_asansorlu,1,0
torpidocular,1,0
tinaztepede,1,0
terasta_life,1,0
tanta_emlak_tan,1,0
temizel_tepe_loft,1,0
secret_garden,1,0
seyri_vadi,1,0
sahibinden,1,0
rose_garden,1,0
oksijen_konaklari,1,0
pasadag_100_yil_parla,1,0
vadi_yuvacik,1,0
vadi,1,0
ustgrup_lifeside,1,0
ust_park_atakent,1,0
yesilyurt_mahallesin_de,1,0
yesilyurt_mah_durupark,1,0
yaylacik_mh_de_havuzlu,1,0
vizyon_dan,1,0
yagmurkent,1,0
ust_park_yuvacik,1,0
yuvacik_eksioglu_metsan,1,0
yuksek_giris_butik,1,0
yuvacik_pasadagi_mh,1,0
yuvacik_manar,1,0
yuvacik_kalici_konutlari_1_ada,1,0
yuvacik_kalici_konutlari_10_ada,1,0
yuvacik_doga,1,0
yuvacikta,1,0
yuvacik_ta_prestijli,1,0
zeray_kent,1,0
